firstname,surname,team,position,searchable_name
Rémy,Cabella,N'castle,M,remy cabella
Rickie,Lambert,Leics,F,rickie lambert
Junior,Hoilett,QPR,M,junior hoilett
Yannick,Sagbo,Hull,F,yannick sagbo
Victor,Anichebe,WBA,F,victor anichebe
Connor,Wickham,S'land,F,connor wickham
Mile,Jedinak,Palace,M,mile jedinak
Kyle,Naughton,Spurs,D,kyle naughton
Anthony,Knockaert,L'pool,M,anthony knockaert
Stephen,Ireland,Stoke,M,stephen ireland
David,Meyler,Hull,M,david meyler
Joe,Ledley,Palace,M,joe ledley
Arouna,Koné,Everton,F,arouna kone
Billy,Jones,S'land,D,billy jones
Joleon,Lescott,WBA,D,joleon lescott
Nedum,Onuoha,QPR,D,nedum onuoha
Leandro,Bacuna,Villa,M,leandro bacuna
Jason,Puncheon,Palace,M,jason puncheon
James,Chester,Hull,D,james chester
Darren,Bent,Villa,F,darren bent
Victor,Moses,Chelsea,M,victor moses
Nathaniel,Chalobah,Chelsea,D,nathaniel chalobah
Carl,Jenkinson,Arsenal,D,carl jenkinson
Danny,Simpson,QPR,D,danny simpson
Alfred,N'Diaye,S'land,M,alfred n'diaye
Saido,Berahino,WBA,F,saido berahino
Jimmy,Kébé,Palace,M,jimmy kebe
Ricardo,Vaz Tê,West Ham,F,ricardo vaz te
Dwight,Gayle,Palace,F,dwight gayle
Willy,Caballero,Man City,G,willy caballero
Gabriel,Obertan,N'castle,M,gabriel obertan
Aaron,Cresswell,West Ham,D,aaron cresswell
Marouane,Chamakh,Palace,F,marouane chamakh
Matty,James,L'pool,M,matty james
Danny,Ings,Burnley,F,danny ings
Benoît,Assou-Ekotto,Spurs,D,benoit assou-ekotto
Jack,Colback,N'castle,M,jack colback
Erik,Pieters,Stoke,D,erik pieters
James,Tomkins,West Ham,D,james tomkins
Danny,Drinkwater,L'pool,M,danny drinkwater
Kieran,Trippier,Burnley,D,kieran trippier
Bryan,Oviedo,Everton,D,bryan oviedo
Sung-Yeung,Ki,Swansea,M,sung-yeung ki
Fabricio,Coloccini,N'castle,D,fabricio coloccini
Alejandro,Faurlin,QPR,M,alejandro faurlin
Anders,Lindegaard,Man Utd,G,anders lindegaard
Nathan,Dyer,Swansea,M,nathan dyer
Ciaran,Clark,Villa,D,ciaran clark
Fabio,Borini,Leics,F,fabio borini
Steven,Pienaar,Everton,M,steven pienaar
José,Campaña,Palace,M,jose campana
David,Nugent,L'pool,F,david nugent
Emmanuel,Mayuka,So'ton,M,emmanuel mayuka
Joey,O'Brien,West Ham,D,joey o'brien
Adrian,Mariappa,Palace,D,adrian mariappa
Craig,Gardner,WBA,D,craig gardner
Matt,Lowton,Villa,D,matt lowton
Sébastien,Pocognoli,WBA,D,sebastien pocognoli
Ben,Davies,Swansea,D,ben davies
Philippe,Senderos,Villa,D,philippe senderos
Kieran,Richardson,Villa,M,kieran richardson
Jamie,Vardy,L'pool,F,jamie vardy
Billy,Sharp,So'ton,F,billy sharp
Scott,Sinclair,Man City,M,scott sinclair
