firstname,surname,team,position,searchable_name
Doug,Baldwin,SEA,WR,Doug Baldwin
Jonathan,Stewart,CAR,RB,Jonathan Stewart
Bryce,Brown,BUF,RB,Bryce Brown
Coby,Fleener,IND,TE,Coby Fleener
Justin,Tucker,BAL,PK,Justin Tucker
Texans,D/ST,HOU,DST,Houston Texans D/ST
Josh,McCown,TB,QB,Josh McCown
Stevie,Johnson,SF,WR,Stevie Johnson
Andre,Williams,NYG,RB,Andre Williams
Travis,Kelce,KC,TE,Travis Kelce
LeGarrette,Blount,PIT,RB,LeGarrette Blount
Bears,D/ST,CHI,DST,Chicago Bears D/ST
Steven,Hauschka,SEA,PK,Steven Hauschka
Jared,Cook,STL,TE,Jared Cook
Isaiah,Crowell,CLE,RB,Isaiah Crowell
Andre,Brown,HOU,RB,Andre Brown
Andrew,Hawkins,CLE,WR,Andrew Hawkins
Latavius,Murray,OAK,RB,Latavius Murray
Martavis,Bryant,PIT,WR,Martavis Bryant
Browns,D/ST,CLE,DST,Cleveland Browns D/ST
Garrett,Graham,HOU,TE,Garrett Graham
Lance,Dunbar,DAL,RB,Lance Dunbar
C.J.,Anderson,DEN,RB,C.J. Anderson
Lache,Seastrunk,WAS,RB,Lache Seastrunk
Buccaneers,D/ST,TB,DST,Tampa Bay Buccaneers D/ST
Jake,Locker,TEN,QB,Jake Locker
Da'Rick,Rogers,IND,WR,Da'Rick Rogers
Dan,Bailey,DAL,PK,Dan Bailey
Phil,Dawson,SF,PK,Phil Dawson
Harry,Douglas,ATL,WR,Harry Douglas
Jarvis,Landry,MIA,WR,Jarvis Landry
Bills,D/ST,BUF,DST,Buffalo Bills D/ST
Jerick,McKinnon,MIN,RB,Jerick McKinnon
Mason,Crosby,GB,PK,Mason Crosby
Donald,Brown,SD,RB,Donald Brown
Marquess,Wilson,CHI,WR,Marquess Wilson
Roy,Helu,WAS,RB,Roy Helu
Miles,Austin,CLE,WR,Miles Austin
Paul,Richardson,SEA,WR,Paul Richardson
Denarius,Moore,OAK,WR,Denarius Moore
Ravens,D/ST,BAL,DST,Baltimore Ravens D/ST
Geno,Smith,NYJ,QB,Geno Smith
Packers,D/ST,GB,DST,Green Bay Packers D/ST
Rod,Streater,OAK,WR,Rod Streater
Storm,Johnson,JAX,RB,Storm Johnson
Shonn,Greene,TEN,RB,Shonn Greene
James,White,NE,RB,James White
Blair,Walsh,MIN,PK,Blair Walsh
Steelers,D/ST,PIT,DST,Pittsburgh Steelers D/ST
Ahmad,Bradshaw,IND,RB,Ahmad Bradshaw
Dexter,McCluster,TEN,RB,Dexter McCluster
Richard,Rodgers,GB,TE,Richard Rodgers
Saints,D/ST,NO,DST,New Orleans Saints D/ST
Colt,Lyerla,GB,TE,Colt Lyerla
Giants,D/ST,NYG,DST,New York Giants D/ST
Lorenzo,Taliaferro,BAL,RB,Lorenzo Taliaferro
Shayne,Graham,NO,PK,Shayne Graham
Derek,Carr,OAK,QB,Derek Carr
Matt,Schaub,OAK,QB,Matt Schaub
Adam,Vinatieri,IND,PK,Adam Vinatieri
Lions,D/ST,DET,DST,Detroit Lions D/ST
Brandon,LaFell,NE,WR,Brandon LaFell
Michael,Vick,NYJ,QB,Michael Vick
Mike,Williams,BUF,WR,Mike Williams
Jacquizz,Rodgers,ATL,RB,Jacquizz Rodgers
Jerricho,Cotchery,CAR,WR,Jerricho Cotchery
Matt,Bryant,ATL,PK,Matt Bryant
Ryan,Fitzpatrick,HOU,QB,Ryan Fitzpatrick
Marlon,Brown,BAL,WR,Marlon Brown
Eagles,D/ST,PHI,DST,Philidelphia Eagles D/ST
Colts,D/ST,IND,DST,Indianapolis Colts D/ST
Jets,D/ST,NYJ,DST,New York Jets D/ST
John,Brown,ARI,WR,John Brown
Andre,Holmes,OAK,WR,Andre Holmes
Robbie,Gould,CHI,PK,Robbie Gould
Titans,D/ST,TEN,DST,Tennessee Titans D/ST
Malcom,Floyd,SD,WR,Malcom Floyd
Stepfan,Taylor,ARI,RB,Stepfan Taylor
Vikings,D/ST,MIN,DST,Minnesota Vikings D/ST
Dolphins,D/ST,MIA,DST,Miami Dolphins D/ST
Jerrel,Jernigan,NYG,WR,Jerrel Jernigan
Stedman,Bailey,STL,WR,Stedman Bailey
Joseph,Fauria,DET,TE,Joseph Fauria
Nick,Novak,SD,PK,Nick Novak
Tim,Wright,TB,TE,Tim Wright
Greg,Zuerlein,STL,PK,Greg Zuerlein
Cowboys,D/ST,DAL,DST,Dallas Cowboys D/ST
James,Starks,GB,RB,James Starks
Brian,Hoyer,CLE,QB,Brian Hoyer
Redskins,D/ST,WAS,DST,Washington Redskins D/ST
Mike,Glennon,TB,QB,Mike Glennon
Chargers,D/ST,SD,DST,San Diego Chargers D/ST
Levine,Toilolo,ATL,TE,Levine Toilolo
Dri,Archer,PIT,RB,Dri Archer
De'Anthony,Thomas,KC,RB,De'Anthony Thomas
Raiders,D/ST,OAK,DST,Oakland Raiders D/ST
Kenbrell,Thompkins,NE,WR,Kenbrell Thompkins
Chris,Polk,PHI,RB,Chris Polk
Adrien,Robinson,NYG,TE,Adrien Robinson
Kendall,Hunter,SF,RB,Kendall Hunter
Stephen,Hill,NYJ,WR,Stephen Hill
Troy,Niklas,ARI,TE,Troy Niklas
Josh,Huff,PHI,WR,Josh Huff
Jordan,Todman,JAX,RB,Jordan Todman
Marion,Grice,SD,RB,Marion Grice
Matt,McGloin,OAK,QB,Matt McGloin
Gavin,Escobar,DAL,TE,Gavin Escobar
Chad,Henne,JAX,QB,Chad Henne
Mychal,Rivera,OAK,TE,Mychal Rivera
Falcons,D/ST,ATL,DST,Atlanta Falcons D/ST
Kenjon,Barner,CAR,RB,Kenjon Barner
Sebastian,Janikowski,OAK,PK,Sebastian Janikowski
BenJarvus,Green-Ellis,CIN,RB,BenJarvus Green-Ellis
C.J.,Fiedorowicz,HOU,TE,C.J. Fiedorowicz
Jermaine,Kearse,SEA,WR,Jermaine Kearse
Theo,Riddick,DET,RB,Theo Riddick
Chris,Givens,STL,WR,Chris Givens
Alfred,Blue,HOU,RB,Alfred Blue
Shaun,Suisham,PIT,PK,Shaun Suisham
Matt,Cassel,MIN,QB,Matt Cassel
Brock,Osweiler,DEN,QB,Brock Osweiler
Daniel,Thomas,MIA,RB,Daniel Thomas
Edwin,Baker,CLE,RB,Edwin Baker
Marcedes,Lewis,JAX,TE,Marcedes Lewis
Alex,Henery,PHI,PK,Alex Henery
Jaguars,D/ST,JAX,DST,Jacksonville Jaguars D/ST
Ryan,Griffin,HOU,TE,Ryan Griffin
Ace,Sanders,JAX,WR,Ace Sanders
Charles,Johnson,CLE,WR,Charles Johnson
Dan,Carpenter,BUF,PK,Dan Carpenter
Scott,Chandler,BUF,TE,Scott Chandler
Bruce,Ellington,SF,WR,Bruce Ellington
Robert,Turbin,SEA,RB,Robert Turbin
Jermaine,Gresham,CIN,TE,Jermaine Gresham
Graham,Gano,CAR,PK,Graham Gano
Griff,Whalen,IND,WR,Griff Whalen
Lance,Moore,PIT,WR,Lance Moore
Luke,Willson,SEA,TE,Luke Willson
Nick,Folk,NYJ,PK,Nick Folk
Michael,Cox,NYG,RB,Michael Cox
Jay,Feely,ARI,PK,Jay Feely
Josh,Boyce,NE,WR,Josh Boyce
Ryan,Succop,KC,PK,Ryan Succop
Nate,Washington,TEN,WR,Nate Washington
Tom,Savage,HOU,QB,Tom Savage
Nate,Freese,DET,PK,Nate Freese
Brent,Celek,PHI,TE,Brent Celek
Vick,Ballard,IND,RB,Vick Ballard
Quinton,Patton,SF,WR,Quinton Patton
Tyler,Gaffney,CAR,RB,Tyler Gaffney
Owen,Daniels,BAL,TE,Owen Daniels
Jeremy,Kerley,NYJ,WR,Jeremy Kerley
Marquise,Goodwin,BUF,WR,Marquise Goodwin
Billy,Cundiff,CLE,PK,Billy Cundiff
Benny,Cunningham,STL,RB,Benny Cunningham
Andre,Roberts,WAS,WR,Andre Roberts
